0: 1 5 14 6 21, zy
49: 1 7 24 6 18 6 24 6 16 4 12 4 17, zy
50: 1 5 14 4 14 5 1 23 7 1 18 1 7 23, zy
51: 1 5 16 4 16 5 1 25 7 1 18 1 7 25, zy
52: 1 6 1 21 7 1 15 4 12 4 15 1 7 21, zy
53: 1 6 1 21 7 1 17 4 8 4 17 1 7 21, zy
54: 1 5 12 2 4 2 6 2 6 2 8 4 16 6 21, zy
55: 1 5 12 2 4 2 10 4 18 6 22 6 20 6 21, zy
56: 1 5 12 4 14 4 10 4 16 6 19 1 6 1 20, zy
57: 1 5 12 4 14 4 10 4 16 6 20 6 16 6 21, zy
58: 1 5 14 2 2 2 10 2 4 2 10 4 16 6 23, zy
59: 1 5 14 4 10 2 4 2 6 2 8 4 16 6 21, zy
60: 1 5 14 4 12 4 10 2 4 2 8 4 16 6 21, zy
61: 1 5 14 4 12 4 16 4 10 4 18 6 20 6 21, zy
62: 1 5 14 4 12 4 16 6 21 1 6 1 19 6 21, zy
63: 1 5 14 4 16 6 23 1 6 1 20 1 6 1 22, zy
64: 1 5 14 5 1 21 6 16 6 22 7 1 17 6 21, zy
65: 1 5 16 4 12 4 16 5 1 23 6 18 5 1 24, zy
66: 1 5 16 4 12 4 16 6 23 1 5 16 5 1 24, zy
67: 1 5 16 5 1 23 6 17 1 7 22 6 18 6 23, zy
68: 1 5 16 6 20 6 20 7 1 17 6 19 1 7 23, zy
69: 1 5 18 6 22 6 20 6 22 6 19 1 6 1 24, zy
70: 1 6 1 18 1 7 24 6 18 6 22 6 18 6 23, zy
71: 1 6 1 19 6 16 4 8 2 6 4 17 1 7 21, zy
72: 1 6 1 19 6 20 6 20 6 22 7 1 17 6 23, zy
73: 1 6 1 19 6 22 6 18 4 10 4 17 1 7 23, zy
74: 1 7 22 6 16 6 20 6 18 6 18 4 8 4 17, zy
75: 1 7 24 6 18 6 24 6 16 4 14 4 12 4 17, zy
76: 1 5 12 2 2 2 12 5 1 21 7 1 16 1 7 21, zy
77: 1 5 12 4 12 4 10 2 4 2 8 4 16 6 18 6 19, zy
78: 1 5 12 4 14 4 10 4 12 2 2 2 10 4 14 6 21, zy
79: 1 5 14 4 12 4 16 4 10 4 18 6 20 6 20 6 21, zy
80: 1 5 14 4 12 4 18 6 20 4 8 4 20 6 20 6 21, zy
81: 1 5 14 4 12 4 18 6 21 1 6 1 21 6 20 6 21, zy
82: 1 5 14 4 14 4 12 4 16 6 22 6 19 1 6 1 22, zy
83: 1 5 14 4 14 4 14 4 12 4 18 6 21 1 6 1 22, zy
84: 1 5 14 4 16 6 24 6 16 4 12 4 14 4 16 6 23, zy
85: 1 5 16 4 10 4 18 6 22 6 16 4 12 4 16 6 23, zy
86: 1 5 16 4 12 4 16 4 12 4 18 6 22 6 20 6 23, zy
87: 1 5 16 4 14 4 12 4 18 6 23 1 5 16 5 1 24, zy
88: 1 5 16 5 1 23 6 18 5 1 24 1 6 1 19 6 23, zy
89: 1 5 16 6 22 7 1 17 6 21 1 6 1 18 1 7 23, zy
90: 1 5 17 1 7 23 1 6 1 19 6 22 6 18 5 1 24, zy
91: 1 5 18 6 22 6 19 1 6 1 22 1 6 1 19 6 23, zy
92: 1 5 18 6 22 6 20 6 20 6 22 6 19 1 6 1 24, zy
93: 1 5 18 6 23 1 6 1 19 6 22 6 19 1 6 1 24, zy
94: 1 5 18 6 24 6 19 1 6 1 23 6 19 1 6 1 24, zy
95: 1 6 1 18 1 7 24 7 1 17 4 10 4 17 1 7 23, zy
96: 1 6 1 19 6 18 6 20 7 1 15 4 10 4 16 6 21, zy
97: 1 6 1 19 6 20 6 20 6 18 6 22 7 1 17 6 21, zy
98: 1 6 1 21 6 20 4 8 2 6 2 10 4 17 1 7 23, zy
99: 1 7 20 6 18 6 16 4 8 2 6 2 6 4 18 6 17, zy
100: 1 7 22 6 14 4 10 2 4 2 8 4 16 4 8 4 17, zy
101: 1 7 22 6 14 4 10 4 16 6 20 6 16 6 20 6 17, zy
102: 1 7 22 6 16 4 8 2 6 2 6 2 6 2 8 4 17, zy
103: 1 7 22 6 16 4 10 4 16 6 20 6 18 4 8 4 17, zy
104: 1 7 22 6 18 4 10 4 16 4 10 4 18 6 22 6 17, zy
105: 1 7 24 6 16 4 10 2 6 4 20 6 20 6 20 6 19, zy
106: 1 7 24 6 18 4 10 4 18 6 24 6 16 4 12 4 17, zy
107: 1 5 14 4 12 4 16 6 23 1 5 16 4 10 4 18 6 21, zy
108: 1 7 20 6 18 4 8 4 17 1 7 22 6 16 4 10 4 15, zy
109: 1 5 12 2 2 2 10 4 15 1 7 20 6 18 6 17 1 7 21, zy
110: 1 5 12 2 4 2 8 2 6 2 8 4 18 6 22 6 18 6 21, zy
111: 1 5 12 4 14 4 10 4 14 4 10 4 16 6 19 1 6 1 20, zy
112: 1 5 12 4 14 4 10 4 16 4 8 2 6 4 19 1 6 1 20, zy
113: 1 5 12 4 16 6 21 1 6 1 19 6 20 6 18 4 8 4 19, zy
114: 1 5 14 2 2 2 12 2 4 2 8 2 6 2 10 4 18 6 23, zy
115: 1 5 14 4 12 4 12 2 2 2 10 4 16 6 19 1 6 1 22, zy
116: 1 5 14 4 12 4 14 6 22 6 16 6 21 1 5 14 5 1 22, zy
117: 1 5 14 4 12 4 16 6 21 1 6 1 19 4 8 4 18 6 21, zy
118: 1 5 14 4 12 4 16 6 21 1 6 1 20 1 6 1 19 6 21, zy
119: 1 5 14 4 14 4 14 4 12 4 14 4 14 4 12 4 16 6 23, zy
120: 1 5 14 4 14 4 14 4 14 4 12 4 16 4 10 2 6 4 21, zy
121: 1 5 14 4 14 4 16 4 10 2 6 2 8 4 20 6 22 6 21, zy
122: 1 5 14 4 16 4 10 2 6 2 8 4 20 6 21 1 6 1 22, zy
123: 1 5 14 5 1 21 6 16 6 21 1 6 1 19 6 16 5 1 22, zy
124: 1 5 14 6 21 1 6 1 19 6 16 4 10 4 12 4 14 6 21, zy
125: 1 5 16 4 10 4 16 5 1 23 6 16 6 22 6 17 1 7 23, zy
126: 1 5 16 4 12 2 4 2 10 4 17 1 7 24 6 18 5 1 24, zy
127: 1 5 16 4 12 4 16 4 10 2 6 2 8 4 20 6 20 6 23, zy
128: 1 5 16 4 12 4 16 4 12 2 2 2 14 4 12 4 18 6 23, zy
129: 1 5 16 4 12 4 16 6 23 1 5 16 5 1 23 6 18 6 23, zy
130: 1 5 16 4 12 4 16 6 24 6 18 6 23 1 6 1 19 6 23, zy
131: 1 5 16 4 12 4 18 6 22 6 21 1 6 1 21 6 20 6 23, zy
132: 1 5 16 5 1 23 6 18 4 10 2 6 4 22 6 18 5 1 24, zy
133: 1 5 16 6 23 1 6 1 19 6 20 4 6 2 10 4 16 6 23, zy
134: 1 5 16 6 23 1 6 1 19 6 21 1 6 1 20 1 6 1 22, zy
135: 1 5 18 4 10 2 6 2 6 2 10 2 2 2 14 4 16 6 25, zy
136: 1 5 18 4 10 2 6 2 6 2 10 4 18 6 24 6 18 6 25, zy
137: 1 5 18 6 24 6 18 4 10 4 20 6 22 6 19 1 6 1 24, zy
138: 1 6 1 19 6 16 4 10 4 12 4 14 6 20 6 17 1 7 21, zy
139: 1 6 1 19 6 18 4 6 2 8 4 16 6 20 6 17 1 7 21, zy
140: 1 6 1 19 6 20 6 20 6 20 6 18 4 10 4 17 1 7 23, zy
141: 1 6 1 19 6 21 1 6 1 21 6 18 4 10 4 17 1 7 23, zy
142: 1 6 1 19 7 1 15 4 8 2 6 2 4 2 10 4 14 6 21, zy
143: 1 7 20 6 16 4 10 4 12 2 2 2 10 4 14 4 10 4 15, zy
144: 1 7 20 6 16 6 20 6 14 4 12 4 10 4 16 6 18 6 17, zy
145: 1 7 20 6 18 6 18 4 6 2 8 4 16 6 20 6 18 6 17, zy
146: 1 7 22 6 14 4 10 4 16 6 20 6 14 4 14 6 20 6 17, zy
147: 1 7 22 6 16 4 8 2 6 2 6 2 6 2 6 2 8 4 17, zy
148: 1 7 24 6 18 6 22 6 18 4 10 4 18 6 22 6 20 6 19, zy
149: 1 5 12 2 4 2 8 4 18 6 21 1 5 14 4 12 4 16 6 21, zy
150: 1 5 14 4 12 4 14 4 14 6 23 1 5 16 6 22 6 18 6 21, zy
151: 1 5 14 5 1 21 6 18 5 1 23 6 18 6 23 1 5 18 6 21, zy
152: 1 5 16 5 1 23 6 18 5 1 23 6 20 6 23 1 5 18 6 23, zy
153: 1 5 16 6 25 1 5 18 5 1 25 6 16 5 1 23 6 18 6 23, zy
154: 1 5 18 4 10 2 6 2 6 2 10 4 17 1 7 24 6 18 6 25, zy
155: 1 7 20 6 17 1 7 20 6 18 6 20 7 1 17 6 20 7 1 16, zy
156: 1 7 20 6 17 1 7 22 7 1 17 6 20 7 1 17 6 18 6 17, zy
157: 1 7 20 7 1 15 6 22 7 1 17 6 20 6 17 1 7 22 6 15, zy
158: 1 7 22 6 16 6 22 7 1 17 6 22 7 1 18 1 7 22 6 17, zy
159: 1 7 22 6 17 1 7 22 6 18 6 22 7 1 17 6 22 7 1 16, zy
160: 1 7 22 6 17 1 7 22 7 1 17 6 22 7 1 17 6 22 6 17, zy
161: 1 7 22 6 20 6 22 7 1 17 6 24 7 1 18 1 7 24 6 17, zy
162: 1 5 12 2 2 2 10 4 14 4 8 2 6 2 4 2 10 4 14 6 21, zy
163: 1 5 12 2 2 2 10 4 14 4 10 4 16 6 18 6 19 1 6 1 20, zy
164: 1 5 12 2 4 2 10 2 4 2 10 4 18 4 8 2 8 4 20 6 21, zy
165: 1 5 12 4 12 4 12 4 10 2 4 2 8 4 16 6 19 1 6 1 20, zy
166: 1 5 12 4 14 4 10 2 4 2 6 2 8 2 2 2 12 4 14 6 21, zy
167: 1 5 12 4 14 4 10 4 14 4 10 4 16 6 18 6 19 1 6 1 20, zy
168: 1 5 12 4 14 4 12 4 12 4 14 4 10 2 4 2 8 2 6 4 19, zy
169: 1 5 12 4 16 6 20 6 18 6 19 1 6 1 21 7 1 16 1 7 21, zy
170: 1 5 14 2 2 2 12 4 16 4 12 4 16 5 1 24 1 5 18 6 23, zy
171: 1 5 14 4 12 4 12 4 12 2 2 2 10 4 16 6 19 1 6 1 22, zy
172: 1 5 14 4 12 4 12 4 14 4 10 4 16 6 21 1 5 14 5 1 22, zy
173: 1 5 14 4 12 4 12 4 14 6 22 6 16 6 21 1 5 14 5 1 22, zy
174: 1 5 14 4 12 4 16 4 10 4 18 6 20 6 21 1 6 1 19 6 21, zy
175: 1 5 14 4 14 4 16 6 24 6 18 4 10 2 4 2 10 2 6 4 21, zy
176: 1 5 14 4 16 4 10 2 4 2 12 4 14 4 16 6 24 6 18 6 23, zy
177: 1 5 14 4 16 4 12 2 4 2 8 2 8 4 20 6 21 1 6 1 22, zy
178: 1 5 14 4 16 6 22 6 19 1 6 1 23 6 16 4 12 4 16 6 23, zy
179: 1 5 14 4 16 6 24 6 16 4 10 2 6 2 8 4 19 1 6 1 22, zy
180: 1 5 14 4 16 6 24 6 16 4 12 4 16 4 12 4 14 4 16 6 23, zy
181: 1 5 14 5 1 21 6 16 5 1 22 1 6 1 19 6 18 6 18 6 21, zy
182: 1 5 16 4 10 2 4 2 10 4 18 6 20 6 22 7 1 17 5 1 24, zy
183: 1 5 16 4 10 2 4 2 12 4 12 4 18 6 20 6 22 6 18 6 23, zy
184: 1 5 16 4 10 4 18 6 22 6 18 6 21 1 6 1 21 6 18 6 23, zy
185: 1 5 16 4 12 4 18 6 24 6 18 6 24 6 20 6 22 6 20 6 23, zy
186: 1 5 16 4 14 4 12 2 4 2 10 4 18 6 23 1 5 16 5 1 24, zy
187: 1 5 16 5 1 23 6 16 4 14 4 12 4 17 1 7 24 6 18 6 23, zy
188: 1 5 16 6 20 6 18 6 18 4 8 4 18 6 18 6 19 1 6 1 22, zy
189: 1 5 16 6 20 6 19 1 6 1 19 4 6 2 8 4 17 1 6 1 22, zy
190: 1 5 18 4 10 4 18 4 10 2 4 2 12 4 14 4 14 4 16 6 25, zy
191: 1 5 18 6 24 6 18 6 23 1 6 1 19 6 24 7 1 18 1 7 25, zy
192: 1 6 1 18 1 7 21 1 6 1 19 6 18 6 16 4 10 4 14 6 21, zy
193: 1 6 1 19 6 18 4 6 2 6 2 8 4 16 6 20 6 17 1 7 21, zy
194: 1 6 1 19 6 18 6 18 6 18 6 20 6 16 6 20 6 17 1 7 21, zy
195: 1 6 1 19 6 18 6 20 6 16 4 10 4 16 6 20 6 17 1 7 21, zy
196: 1 6 1 21 6 18 4 10 4 17 1 7 22 6 20 6 20 6 20 6 21, zy
197: 1 7 20 6 18 6 16 4 8 2 6 2 6 4 18 6 18 6 18 6 17, zy
198: 1 7 22 6 14 4 12 4 10 2 4 2 8 2 4 2 8 2 6 4 17, zy
199: 1 7 24 6 16 4 12 4 16 4 10 2 4 2 10 2 4 2 10 4 17, zy
200: 1 7 24 6 16 4 12 4 16 4 12 4 14 4 14 4 14 4 12 4 17, zy
201: 1 5 12 2 4 2 6 2 6 2 6 2 8 4 15 1 7 20 6 16 6 21, zy
202: 1 5 12 4 14 6 21 1 5 14 5 1 22 1 5 16 6 19 1 6 1 20, zy
203: 1 5 14 2 2 2 12 4 14 4 16 6 23 1 5 16 6 24 6 18 6 23, zy
204: 1 5 14 4 14 4 14 4 14 4 12 4 17 1 7 24 6 18 6 22 6 21, zy
205: 1 5 14 4 14 5 1 21 6 22 7 1 17 6 24 6 17 1 7 22 6 21, zy
206: 1 5 14 4 16 6 22 6 20 6 19 1 7 24 6 16 4 12 4 16 6 23, zy
207: 1 5 14 4 16 6 23 1 5 16 5 1 24 1 5 18 6 21 1 6 1 22, zy
208: 1 6 1 19 6 20 7 1 17 6 18 4 8 4 18 6 17 1 7 20 6 19, zy
209: 1 5 12 2 2 2 12 4 10 2 6 4 18 6 20 6 16 4 10 4 16 6 21, zy
210: 1 5 12 2 4 2 8 2 4 2 10 2 4 2 8 2 6 4 20 6 18 6 21, zy
211: 1 5 12 4 14 4 10 2 2 2 12 4 10 2 2 2 12 4 12 4 14 6 21, zy
212: 1 5 12 4 14 5 1 22 1 5 14 4 10 4 16 6 18 6 19 1 6 1 20, zy
213: 1 5 14 2 2 2 12 2 2 2 12 2 4 2 8 2 6 2 10 4 18 6 23, zy
214: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 12 4 18 6 21 1 6 1 22, zy
215: 1 5 14 4 10 2 4 2 8 4 16 6 20 6 17 1 6 1 21 6 16 6 21, zy
216: 1 5 14 4 12 4 12 2 2 2 10 4 16 6 20 6 18 6 19 1 6 1 22, zy
217: 1 5 14 4 12 4 16 6 20 6 20 6 18 4 8 4 18 4 8 4 18 6 21, zy
218: 1 5 14 4 14 4 12 2 2 2 12 4 12 2 4 2 8 4 19 1 6 1 22, zy
219: 1 5 14 4 14 4 12 4 14 4 14 4 12 4 16 6 22 6 19 1 6 1 22, zy
220: 1 5 14 4 14 4 12 4 16 5 1 23 6 17 1 7 22 6 20 6 20 6 21, zy
221: 1 5 14 4 14 4 14 4 14 4 12 4 17 1 7 24 6 16 4 14 5 1 22, zy
222: 1 5 14 4 14 4 14 4 14 4 14 4 14 4 14 4 12 4 18 6 22 6 21, zy
223: 1 5 14 4 16 4 12 4 16 4 12 4 18 6 24 7 1 17 5 1 23 6 21, zy
224: 1 5 14 4 16 5 1 24 1 5 18 6 22 6 21 1 6 1 20 1 6 1 22, zy
225: 1 5 14 4 16 6 23 1 6 1 19 6 21 1 6 1 20 1 6 1 21 6 21, zy
226: 1 5 16 4 10 4 18 6 21 1 6 1 20 1 6 1 21 6 20 6 18 6 23, zy
227: 1 5 16 4 12 2 4 2 10 4 18 5 1 25 6 18 6 24 6 18 5 1 24, zy
228: 1 5 16 4 12 4 14 4 16 6 23 1 6 1 18 1 6 1 23 6 18 6 23, zy
229: 1 5 16 4 12 4 18 6 22 6 21 1 6 1 21 6 22 6 19 1 6 1 24, zy
230: 1 5 16 4 12 4 18 6 23 1 5 16 5 1 23 6 20 6 22 6 20 6 23, zy
231: 1 5 16 4 14 4 12 4 18 6 23 1 5 16 5 1 23 6 19 1 6 1 24, zy
232: 1 5 16 5 1 22 1 6 1 20 1 6 1 21 6 20 6 22 6 18 5 1 24, zy
233: 1 5 16 5 1 23 6 16 4 12 4 16 4 10 4 18 6 22 6 18 5 1 24, zy
234: 1 5 16 5 1 23 6 16 4 14 4 12 4 17 1 6 1 24 1 5 18 6 23, zy
235: 1 5 16 5 1 23 6 17 1 7 22 6 20 6 20 6 20 6 22 6 18 6 23, zy
236: 1 5 16 5 1 23 6 18 6 22 6 20 6 19 1 6 1 23 6 17 1 7 23, zy
237: 1 5 16 6 24 6 16 4 12 4 14 4 14 4 12 2 2 2 12 4 16 6 23, zy
238: 1 5 18 4 8 2 8 2 6 2 6 2 10 4 18 6 22 6 19 1 6 1 24, zy
239: 1 5 18 4 10 4 18 4 10 2 4 2 12 4 14 4 14 4 14 4 16 6 25, zy
240: 1 6 1 19 6 16 4 8 2 4 2 10 4 12 4 14 6 20 6 17 1 7 21, zy
241: 1 6 1 19 6 20 6 18 4 10 4 16 6 22 6 17 1 7 22 6 18 6 21, zy
242: 1 6 1 19 6 21 1 6 1 20 1 6 1 21 6 18 4 10 4 17 1 7 23, zy
243: 1 7 22 6 14 4 12 4 10 2 6 4 17 1 7 22 7 1 17 4 8 4 17, zy
244: 1 7 22 6 14 4 12 4 12 4 14 6 22 6 14 4 10 2 4 2 8 4 17, zy
245: 1 5 12 4 15 1 7 20 6 19 1 6 1 21 7 1 17 6 20 6 17 1 7 21, zy
246: 1 5 14 4 10 4 15 1 7 20 6 16 6 20 7 1 15 4 10 4 14 5 1 22, zy
247: 1 5 14 4 10 4 15 1 7 20 7 1 15 4 10 4 14 5 1 21 6 16 6 21, zy
248: 1 5 14 4 12 4 17 1 7 24 7 1 17 4 12 4 14 5 1 21 6 20 6 21, zy
249: 1 5 14 4 14 2 2 2 10 4 18 6 23 1 5 16 4 12 4 14 4 16 6 23, zy
250: 1 5 14 4 14 2 2 2 12 4 16 4 12 4 17 1 7 24 6 20 6 22 6 21, zy
251: 1 5 14 4 14 4 12 2 2 2 14 4 12 4 17 1 7 24 6 18 6 22 6 21, zy
252: 1 5 14 4 16 6 22 6 18 6 23 1 5 16 4 12 4 14 4 12 4 16 6 23, zy
253: 1 5 14 5 1 21 6 15 1 7 19 1 6 1 20 1 6 1 19 7 1 15 6 21, zy
254: 1 5 14 5 1 21 6 17 1 7 21 1 6 1 20 1 6 1 21 7 1 17 6 21, zy
255: 1 5 16 4 10 2 4 2 10 4 17 1 7 24 6 16 5 1 23 7 1 17 6 23, zy
256: 1 5 16 4 12 4 17 1 7 24 6 18 6 24 7 1 17 4 12 4 16 5 1 24, zy
257: 1 7 20 7 1 15 6 22 7 1 17 4 6 2 8 2 6 4 17 1 7 22 6 15, zy
258: 1 5 12 2 2 2 10 4 14 4 12 5 1 21 7 1 17 6 18 6 19 1 6 1 20, zy
259: 1 5 12 2 4 2 8 2 8 4 18 6 22 6 18 6 22 6 20 6 20 6 20 6 21, zy
260: 1 5 12 4 14 4 12 5 1 21 6 14 4 14 5 1 23 7 1 19 6 17 1 7 21, zy
261: 1 5 12 4 16 6 20 6 18 6 19 1 6 1 20 1 6 1 19 6 19 1 6 1 20, zy
262: 1 5 14 2 2 2 12 4 12 2 4 2 8 2 8 4 18 6 22 6 19 1 6 1 22, zy
263: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 12 4 16 4 12 4 14 4 16 6 23, zy
264: 1 5 14 4 12 2 2 2 10 4 16 6 20 6 18 6 20 6 18 6 19 1 6 1 22, zy
265: 1 5 14 4 12 2 2 2 12 4 12 4 16 6 21 1 6 1 20 1 6 1 19 6 21, zy
266: 1 5 14 4 12 4 14 4 14 5 1 23 7 1 17 4 10 4 16 6 22 6 18 6 21, zy
267: 1 5 14 4 14 2 2 2 10 2 4 2 10 4 18 6 22 6 20 6 21 1 6 1 22, zy
268: 1 5 14 4 14 4 12 4 16 6 23 1 6 1 19 6 20 4 8 4 19 1 6 1 22, zy
269: 1 5 14 4 14 4 14 4 14 4 14 4 12 4 16 4 12 4 16 4 10 2 6 4 21, zy
270: 1 5 14 4 14 4 14 4 14 4 14 4 14 4 12 2 4 2 10 4 18 6 22 6 21, zy
271: 1 5 14 4 14 4 16 6 24 6 18 4 10 4 18 4 10 2 4 2 10 2 6 4 21, zy
272: 1 5 14 4 16 4 12 4 16 4 12 2 4 2 8 2 8 4 20 6 21 1 6 1 22, zy
273: 1 5 14 4 16 5 1 24 1 5 16 4 12 4 18 6 22 6 20 6 21 1 6 1 22, zy
274: 1 5 14 4 16 5 1 24 1 5 18 6 22 6 20 6 20 6 22 6 19 1 6 1 22, zy
275: 1 5 14 4 16 5 1 25 7 1 19 6 23 1 5 16 5 1 24 1 5 17 1 7 23, zy
276: 1 5 14 4 16 6 22 6 18 4 10 4 18 6 20 6 22 6 18 6 21 1 6 1 22, zy
277: 1 5 14 4 16 6 23 1 5 16 5 1 23 6 18 4 8 2 8 4 19 1 6 1 22, zy
278: 1 5 14 5 1 21 6 16 5 1 22 1 6 1 18 1 6 1 21 6 18 6 18 6 21, zy
279: 1 5 14 5 1 21 6 16 6 20 6 16 4 8 2 6 2 4 2 10 4 15 1 7 21, zy
280: 1 5 16 4 10 2 4 2 8 2 6 2 8 4 18 6 20 6 18 4 10 4 16 6 23, zy
281: 1 5 16 4 10 2 6 2 6 2 8 4 20 6 18 4 10 4 18 6 22 6 18 6 23, zy
282: 1 5 16 4 10 2 6 2 8 4 18 4 10 4 16 4 12 4 16 4 10 4 18 6 23, zy
283: 1 5 16 4 10 2 6 2 8 4 18 4 10 4 18 6 22 6 18 4 10 4 18 6 23, zy
284: 1 5 16 4 10 2 6 2 8 4 19 1 6 1 23 6 18 6 23 1 6 1 19 6 23, zy
285: 1 5 16 4 12 2 4 2 8 2 6 2 8 4 20 6 20 6 22 6 19 1 6 1 24, zy
286: 1 5 16 4 12 4 14 4 16 6 23 1 6 1 19 6 22 6 18 4 10 4 18 6 23, zy
287: 1 5 16 4 12 4 16 4 12 4 14 4 16 6 24 6 18 6 23 1 5 16 5 1 24, zy
288: 1 5 16 4 12 4 16 6 23 1 5 16 5 1 22 1 6 1 19 6 22 6 18 6 23, zy
289: 1 5 16 4 12 4 16 6 23 1 6 1 19 6 22 6 18 6 23 1 5 16 5 1 24, zy
290: 1 5 16 4 14 4 12 4 18 6 22 6 20 6 22 6 20 6 22 6 19 1 6 1 24, zy
291: 1 5 16 4 14 4 12 4 18 6 22 6 21 1 6 1 21 6 20 6 22 6 20 6 23, zy
292: 1 5 16 6 20 6 18 6 19 1 6 1 21 6 16 5 1 23 7 1 18 1 6 1 22, zy
293: 1 5 16 6 20 6 18 6 20 6 16 4 10 4 16 6 20 6 18 6 19 1 6 1 22, zy
294: 1 5 16 6 22 6 14 4 12 4 14 4 10 4 16 6 21 1 6 1 18 1 6 1 22, zy
295: 1 5 16 6 24 6 16 4 10 2 6 2 6 2 8 2 6 2 8 4 19 1 6 1 22, zy
296: 1 5 18 6 22 6 20 6 20 4 8 2 6 2 8 2 6 2 8 4 19 1 6 1 24, zy
297: 1 5 18 6 23 1 6 1 21 6 20 6 22 6 20 4 8 2 8 4 19 1 6 1 24, zy
298: 1 6 1 18 1 7 24 6 18 4 8 2 8 2 6 2 6 2 8 2 8 4 18 6 23, zy
299: 1 6 1 19 4 6 2 6 2 8 4 16 6 20 6 17 1 7 21 1 6 1 19 6 19, zy
300: 1 6 1 19 6 18 6 20 6 16 4 8 2 6 2 8 4 16 6 20 6 17 1 7 21, zy
301: 1 6 1 19 6 20 6 20 6 20 6 20 6 20 6 20 6 18 4 10 4 17 1 7 23, zy
302: 1 7 22 6 14 4 12 4 12 4 12 4 14 6 22 6 14 4 10 4 16 4 8 4 17, zy
303: 1 7 24 6 16 4 14 4 12 4 16 4 12 4 14 4 14 4 14 4 14 4 12 4 17, zy
304: 1 7 24 6 18 4 10 4 18 6 22 6 20 4 6 2 10 2 2 2 14 4 12 4 17, zy
305: 1 5 12 2 2 2 10 4 16 6 18 4 8 4 17 1 7 22 6 14 4 12 4 14 6 21, zy
306: 1 5 12 4 17 1 7 24 7 1 17 4 10 2 4 2 10 4 16 5 1 23 6 18 6 21, zy
307: 1 5 14 2 2 2 10 2 4 2 10 4 16 6 23 1 5 14 4 14 4 12 4 16 6 23, zy
308: 1 5 14 4 14 2 2 2 10 4 18 6 23 1 5 16 4 12 4 16 4 10 2 6 4 21, zy
309: 1 5 14 4 14 4 12 2 4 2 10 4 17 1 7 24 7 1 17 5 1 23 6 20 6 21, zy
310: 1 5 16 4 12 4 18 6 24 6 18 6 25 1 5 18 4 10 4 20 6 22 6 20 6 23, zy
311: 1 6 1 19 6 17 1 7 21 1 6 1 19 6 18 6 20 6 17 1 7 22 6 16 6 21, zy
312: 1 6 1 19 6 20 7 1 15 4 12 4 10 2 4 2 10 4 12 4 15 1 7 20 6 19, zy
